DIRECTORIO,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato
7122308,4,1,1,1,4,3,1
7122309,3,1,1,7,5,2,2
7122310,3,1,2,1,4,3,2
7122312,3,1,2,1,4,1,3
7122313,3,1,1,1,4,3,2
7122314,3,1,1,1,6,3,1
7122315,3,1,1,1,4,3,2
7122316,3,1,1,1,4,3,2
7122317,3,1,1,1,4,3,2
7122318,3,1,1,1,6,3,2
7122319,3,1,1,1,6,3,2
7122320,3,1,2,1,4,3,2
7122322,3,1,2,1,4,4,2
7122323,3,1,1,1,4,3,2
7122324,3,1,1,1,4,3,2
7122325,3,1,1,1,4,3,2
7122326,3,1,1,1,6,3,2
7122327,3,1,1,1,6,3,2
7122328,3,1,1,1,6,3,2
7122329,3,1,1,1,4,3,2
7122330,3,1,1,1,4,3,2
7122331,3,1,1,1,4,3,2
7122332,3,1,1,1,4,3,2
7122333,3,1,1,1,4,2,2
7122334,3,1,1,1,4,3,2
7122335,3,1,1,1,4,3,2
7122336,3,1,1,1,4,3,2
7122337,3,1,1,1,4,4,1
7122338,3,1,2,1,6,7,1
7122339,3,1,1,1,6,3,1
7122340,3,1,1,1,4,4,1
7122342,3,1,1,1,6,3,1
7122343,3,1,2,1,4,4,1
7122344,3,1,1,1,4,3,2
7122345,3,1,1,1,6,2,1
7122346,3,1,1,1,4,3,1
7122347,3,2,1,5,6,4,1
7122349,3,2,1,1,4,3,2
7122351,3,2,1,1,6,3,1
7122355,3,2,1,1,4,5,4
7122356,3,2,1,1,6,4,2
7122357,3,2,1,1,6,4, 
7122358,3,2,1,1,6,4,1
7122359,3,2,1,1,7,4, 
7122360,3,2,1,1,6,4,0
7122362,3,2,1,1,6,4,1
7122363,3,2,1,1,6,4,1
7122364,3,2,1,2,7,4, 
7122365,3,1,1,1,6,4,1
7122366,3,1,1,1,6,4,1
7122368,3,1,1,1,4,4,1
7122370,3,1,1,1,4,4,1
7122371,3,1,1,1,4,1,2
7122372,3,1,1,1,6,4,1
7122374,3,1,1,1,6,4,1
7122375,3,1,2,1,4,3,2
7122378,3,1,2,1,4,3,2
7122379,3,1,2,1,4,3,2
7122380,3,1,2,1,4,3,2
7122381,3,1,2,1,4,1,2
7122382,3,1,1,1,4,4,2
7122383,3,1,2,1,4,3,2
7122384,3,1,2,1,4,1,5
7122385,3,1,2,1,4,3,5
7122386,3,1,2,1,4,3,3
7122387,3,1,2,1,4,1,3
7122388,3,1,2,1,4,3,4
7122389,3,1,2,1,4,3,4
7122390,3,1,1,1,4,1,3
7122391,3,1,1,1,4,3,3
7122392,3,1,1,1,4,1,3
7122393,3,1,1,1,4,3,3
7122394,3,1,1,1,4,1,3
7122395,3,1,2,1,4,3,3
7122396,3,1,1,1,4,3,2
7122397,3,1,2,1,4,1,2
7122398,3,1,1,1,4,1,4
7122400,3,1,1,1,3,2,5
7122401,3,1,1,3,2,2,5
7122402,3,1,1,1,4,3,4
7122404,3,1,2,1,4,3,3
7122405,3,1,1,1,4,3,4
7122406,3,1,2,1,4,1,4
7122407,3,1,2,1,4,3,4
7122409,3,1,2,1,4,1,5
7122412,3,1,2,1,4,1,5
7122414,3,1,1,1,5,2,5
7122415,6,1,2,1,4,2,3
7122416,6,1,2,1,4,2,2
7122417,6,1,1,1,4,2,2
7122418,6,1,1,1,4,2,2
7122420,6,1,2,1,4,3,3
7122421,6,1,1,1,4,2,2
7122422,6,1,1,1,6,2,2
7122423,6,1,2,1,4,2,3
7122425,6,1,2,1,4,2,3
7122426,6,1,2,1,4,2,3
7122427,6,1,2,1,4,2,2
7122428,6,1,2,1,6,2,2
7122430,6,1,2,1,4,1,3
7122431,6,1,2,1,4,4,3
7122432,6,1,1,5,7,3,1
7122433,6,1,1,1,4,3,1
7122434,6,1,2,5,6,4,1
7122435,6,1,2,5,6,4,1
7122437,6,1,1,5,6,3,1
7122438,6,1,2,1,6,3,1
7122439,6,1,1,5,6,4,1
7122442,6,1,1,1,6,4,1
7122443,6,1,1,1,7,4,1
7122444,6,1,1,5,6,2,1
7122445,6,1,2,5,6,4,1
7122446,6,1,1,5,6,4,1
7122447,6,1,1,5,6,4,1
7122448,6,1,1,5,6,4,1
7122449,6,1,1,5,6,4,1
7122450,6,1,1,5,6,4,1
7122451,6,1,1,1,4,2,3
7122452,6,1,2,1,4,2,3
7122454,6,1,2,1,4,1,3
7122455,6,1,1,1,6,2,3
7122456,6,1,2,1,4,1,2
7122457,6,1,1,1,4,1,3
7122458,6,1,2,1,5,1,3
7122459,6,1,2,1,4,2,3
7122460,6,1,1,1,4,1,3
7122462,9,1,1,1,4,2,2
7122463,9,1,1,1,4,4,2
7122464,9,1,1,1,4,3,2
7122466,9,1,3,1,4,4,2
7122467,9,1,1,1,6,4,1
7122468,9,1,1,1,6,4, 
7122469,9,1,1,1,4,4,1
7122471,9,1,1,1,6,4,2
7122472,9,1,1,1,4,4,2
7122473,9,1,2,1,6,4,2
7122474,9,1,1,1,4,4,1
7122475,9,1,3,1,4,4,2
7122476,9,1,2,1,4,4,2
7122477,9,1,1,1,4,3,2
7122478,9,1,1,1,6,3,1
7122479,9,1,1,1,6,4,1
7122480,9,1,1,1,6,4,2
7122481,9,1,1,1,4,5,1
7122482,9,1,1,1,4,4,1
7122484,9,1,1,1,4,4,1
7122485,9,1,1,1,4,4,1
7122486,9,1,1,1,4,4,1
7122487,9,1,1,1,6,4,1
7122488,9,2,1,1,4,1,0
7122489,9,2,1,8,6,4,0
7122490,9,2,1,1,7,4,1
7122491,9,2,1,8,6,4,1
7122492,9,2,1,1,6,4,1
7122493,9,2,5,8,7,4,0
7122494,9,2,1,8,7,4,1
7122496,9,2,1,1,6,4,1
7122498,9,2,1,1,6,4,1
7122499,9,2,1,5,5,4,1
7122500,9,2,1,1,6,4,1
7122501,9,2,5,1,6,4,0
7122502,9,2,1,1,6,4,1
7122503,9,2,1,1,6,4,1
7122504,9,2,1,1,6,4,1
7122506,9,2,1,1,6,4,1
7122507,9,2,1,8,6,4,1
7122508,9,2,3,1,6,4,1
7122509,9,2,1,8,6,4,1
7122510,9,2,1,8,7,4,1
7122511,9,2,3,1,6,4,1
7122512,9,1,1,1,6,4,1
