DIRECTORIO,Parentesco,Recibieron_Subsidio,Dinero_subsidio,SubsidioS
7204930,1,1,350000,1
7205553,1,2,772000,1
7205554,1,2,18000000,1
7205720,1,1,900000,1
7205736,1,1,1240000,1
7206373,1,1,2000000,1
7206500,1,2,2400000,1
7206530,1,1,980000,1
7206546,1,1,960000,1
7206587,1,1,500000,1
7206594,1,1,1800000,1
7206596,1,1,775000,1
7206600,1,1,700000,1
7206608,1,1,450000,1
7206632,1,3,300000,1
7206641,1,1,430000,1
7206661,1,2,600000,1
7206668,1,1,400000,1
7206689,1,3,900000,1
7206693,1,1,400000,1
7206702,1,1,1550000,1
7206708,1,1,760000,1
7206712,1,4,1040000,1
7206716,1,3,900000,1
7206732,1,4,980000,1
7206955,1,1,150000,1
7207077,1,1,200000,1
7207290,1,1,1600000,1
7207292,1,1,800000,1
7207293,1,1,4800000,1
7207350,1,1,10000000,1
7207397,1,1,4000000,1
7207400,1,1,6000000,1
7207406,1,1,2000000,1
7210271,1,1,80000,1
7210509,1,1,9000000,1
7210747,1,3,1045000,1
7210937,1,1,2400000,1
7210976,1,3,900000,1
7211208,1,1,1200000,1
7211226,1,1,80000,1
7211232,1,1,175000,1
7211241,1,2,4000000,1
7211248,1,1,1500000,1
7211249,1,1,720000,1
7211250,1,4,4800000,1
7211252,1,4,800000,1
7211253,1,1,700000,1
7211256,1,3,1200000,1
7211263,1,3,1500000,1
7211271,1,2,3000000,1
7211273,1,1,99,1
7211764,1,1,440000,1
7211787,1,1,414000,1
7211835,1,1,360000,1
7211860,1,1,424000,1
7211927,1,1,120000,1
7211985,1,1,40000,1
7212137,1,3,1200000,1
7212361,1,1,750000,1
7212637,1,1,1500000,1
7212805,1,3,1479000,1
7212910,1,1,70000,1
7212911,1,1,800000,1
7213030,1,1,500000,1
7213261,1,1,450000,1
7213704,1,1,3000000,1
7214250,1,1,1080000,1
7214276,1,1,1500000,1
7214438,1,1,680000,1
7214468,1,1,600000,1
7214479,1,1,700000,1
