DIRECTORIO,ID,Sexo,Edad,Parentesco,Estado_civil,Conyuge,Padre_vive,Madre_vive,Cultura,Campesino,Satisfaccion_vida,Satisfaccion_economica,Satisfaccion_salud,Satisfaccion_trabajo,Felicidad,Tristeza,Escalon_vida,Hijos,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato,ORDEN,Num_Cuartos,Num_cuartos_para_dormir,Ingreso_hogar,Ingreso_percapita,cantidad_personas,Tiene_EPS,Percepcion,Prepagada,Estado_salud,Enfermedad_grave,Sabe_escribir_leer,Estudia?,Nivel_educativo,Publico_privado,Actividad,Pension,Recibe_ingreso,Recibe_ingreso_alimento,Recibe_ingreso_bienes,Recibieron_Subsidio,Dinero_subsidio,SubsidioS,Veces_lavadora,Tamaño_nevera,Horas_pc,Pago_energia,Pago_gas
7125826,3,1,43,1,2,1,2,2,6,1,8,7,10,10,10,0,8,3,3,2,1,1,4,3,1,1,3,3,958333,191666,5,1,2,2,2,2,1,2,4, ,1,1,2,2,2,1.0,1000000.0,1.0, ,1, ,32000,12000
7125959,3,2,38,1,4, ,2,2,6,2,10,5,5,4,5,5,7,3,6,1,2,1,4,1,1,1,3,2,45000,11250,4,1,2,2,3,2,1,2,5, ,2,2,2,2,2,1.0,98.0,1.0,2,2, ,100000, 
7126307,3,2,57,1,3, ,2,3,6,1,5,99,4,3,7,2,7,1,9,1,1,1,4,4,2,1,4,2,1166666,583333,2,1,2,2,3,2,1,2,3, ,4,2,2,2,2,1.0,2000000.0,1.0, ,1, ,43000,22000
7126322,3,2,42,1,2,2,2,2,6,1,10,5,3,10,10,0,10,2,9,1,2,5,6,4,2,1,3,3,2318333,772777,3,1,2,2,3,1,1,2,5, ,4,2,2,1,1,1.0,300000.0,1.0,3,3, ,30000, 
7126330,3,2,32,1,6,1,2,2,6,2,7,7,9,6,10,0,9,2,9,1,1,8,6,4,1,1,3,2,1975000,493750,4,1,2,2,3,2,1,2,5, ,4,2,2,2,2,2.0,1200000.0,1.0,2,1, ,14000,8000
7126409,3,1,78,1,6,1,3,3,6,1,7,2,4,6,9,2,8,0,9,1,1,1,6,4,1,1,4,2,251666,125833,2,1,2,2,2,2,1,2,1, ,4,2,2,2,2,1.0,80000.0,1.0, , , ,1760,1250
7126409,3,1,78,1,6,1,3,3,6,1,7,2,4,6,9,2,8,0,9,1,1,1,6,4,1,1,4,2,251666,125833,2,1,2,2,2,2,1,2,1, ,4,2,2,2,2,1.0,80000.0,1.0, , , ,1760,1250
7126413,3,2,64,1,3, ,3,3,6,1,7,6,7,5,7,0,7,0,9,1,1,1,6,4,1,1,2,1,366666,366666,1,1,2,2,2,2,1,2,3, ,4,2,2,2,2,1.0,50000.0,1.0, ,1, ,11600,11000
7126449,3,2,72,1,6,1,3,3,6,1,10,10,7,10,10,7,10,0,9,2,1,5,6,4, ,1,2,2,616666,308333,2,1,2,2,3,2,1,2,3, ,4,2,2,2,2,2.0,400000.0,1.0, , , , , 
7126449,3,2,72,1,6,1,3,3,6,1,10,10,7,10,10,7,10,0,9,2,1,5,6,4, ,1,2,2,616666,308333,2,1,2,2,3,2,1,2,3, ,4,2,2,2,2,2.0,400000.0,1.0, , , , , 
7126569,3,1,51,1,2,1,3,2,6,1,7,7,6,7,7,7,7,3,1,1,1,1,6,3,1,1,4,3,385000,77000,5,1,2,2,2,2,1,2,4, ,1,2,2,2,2,2.0,300000.0,1.0,2,2, ,40000,25000
7126689,3,2,39,1,4, ,2,2,6,1,8,8,8,8,7,3,6,3,2,1,2,1,4,1,2,1,2,2,780000,195000,4,1,4,2,2,2,1,2,7, ,1,1,2,2,2,1.0,900000.0,1.0, ,2, ,25000,11000
7126690,3,1,42,1,5, ,2,1,6,1,9,7,9,8,9,0,9,0,2,1,1,1,4,3,2,1,4,4,1308333,654166,2,1,2,2,1,2,1,2,7, ,1,2,2,2,2,1.0,300000.0,1.0,1,2, ,15000, 
7126690,3,1,42,1,5, ,2,1,6,1,9,7,9,8,9,0,9,0,2,1,1,1,4,3,2,1,4,4,1308333,654166,2,1,2,2,1,2,1,2,7, ,1,2,2,2,2,1.0,300000.0,1.0,1,2, ,15000, 
