DIRECTORIO,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato,Num_Cuartos,Num_cuartos_para_dormir,Ingreso_hogar,Ingreso_percapita,cantidad_personas,Recibieron_Subsidio,Dinero_subsidio,Veces_lavadora,Tamaño_nevera,Horas_pc,Pago_energia,Pago_gas
7137704,9.0,1.0,1.0,5.0,7.0,4.0,1,3,2,3079532,513255,6,1,330000,4,2, ,70000, 
7138091,1.0,2.0,1.0,1.0,6.0,3.0,1,4,3,843750,140625,6,1,975000, ,2, ,88000,77000
7138102,1.0,2.0,1.0,6.0,6.0,4.0,1,4,3,311666,62333,5,4,760000, ,1, ,0, 
7138203,1.0,2.0,1.0,3.0,6.0,4.0,0,4,1,516666,258333,2,1,100000, ,2, ,0, 
7138205,1.0,2.0,1.0,1.0,7.0,4.0,0,2,1,512500,170833,3,1,100000, , , ,0, 
7138214,1.0,2.0,1.0,1.0,6.0,4.0,0,3,1,1283333,320833,4,1,740000, , , ,0, 
7138308,1.0,1.0,1.0,5.0,7.0,4.0,1,1,1,539166,179722,3,1,2400000, , , ,9000, 
7138382,1.0,2.0,1.0,3.0,7.0,4.0,0,3,1,370000,370000,1,1,1320000, , , ,0, 
7138423,2.0,2.0,1.0,1.0,6.0,3.0,0,3,2,2477666,275296,9,1,2400000,3,2, ,0, 
7138442,2.0,2.0,1.0,1.0,4.0,3.0,1,3,2,1236698,309174,4,2,1400000,2,2,2,20000, 
7138449,2.0,2.0,1.0,1.0,6.0,3.0,1,3,2,1041666,208333,5,1,2000000,2,2, ,21000, 
7138452,2.0,2.0,2.0,1.0,4.0,3.0,1,2,1,866666,288888,3,1,800000, , , ,25000, 
7138504,2.0,2.0,1.0,1.0,4.0,1.0,0,2,2,2288780,572195,4,4,3000000,2, , ,99, 
7138522,3.0,1.0,1.0,1.0,4.0,4.0,1,5,4,4082366,680394,6,1,800000,3,3, ,78000,22000
7138899,2.0,1.0,1.0,2.0,4.0,2.0,2,4,2,1630000,543333,3,1,900000,2,2, ,45000,78000
7139163,,,,,,,,5,3,2645000,881666,3,1,10000000,2,3, ,54000,30000
7139371,2.0,2.0,1.0,5.0,7.0,4.0,1,3,2,908333,454166,2,1,700000,2,2, ,88000, 
7139374,2.0,2.0,1.0,1.0,6.0,4.0,2,4,3,398250,132750,3,1,229000,2,1, ,95000, 
7139377,2.0,2.0,1.0,1.0,6.0,3.0,2,3,1,1161666,290416,4,4,500000,2,1, ,36000, 
7139380,2.0,2.0,1.0,1.0,4.0,4.0,2,3,2,849666,169933,5,1,200000, ,1, ,35000, 
7139537,7.0,1.0,2.0,1.0,4.0,1.0,2,4,3,825000,137500,6,5,840000, ,2, ,16500, 
7139662,7.0,1.0,1.0,1.0,6.0,1.0,1,4,3,1704166,340833,5,1,800000,2,2, ,55000,25000
7139730,4.0,1.0,2.0,1.0,4.0,1.0,2,4,3,7162338,1790584,4,1,2400000,2,2, ,125000, 
7139734,4.0,1.0,3.0,1.0,4.0,1.0,2,1,1,516666,516666,1,1,1400000, , ,1,10000, 
7139789,4.0,1.0,3.0,1.0,4.0,3.0,3,2,1,258333,258333,1,1,1200000, , , ,15000,0
7139795,4.0,1.0,2.0,1.0,4.0,1.0,2,4,1,1135000,567500,2,1,720000,2,2, ,35000,15000
7140024,3.0,2.0,1.0,1.0,6.0,4.0,1,3,2,510000,102000,5,2,120000, ,3, ,40000, 
7140075,3.0,1.0,3.0,1.0,4.0,1.0,3,1,1,158333,158333,1,1,400000, , , ,0, 
7140084,3.0,1.0,3.0,1.0,4.0,1.0,3,1,1,366666,366666,1,1,1400000, , , ,0, 
7140113,3.0,2.0,1.0,3.0,6.0,4.0,0,2,1,484000,161333,3,1,216000, ,2, ,0, 
7140175,3.0,2.0,1.0,1.0,6.0,4.0,0,7,1,1502500,751250,2,1,30000, , , ,0, 
7140184,3.0,2.0,2.0,1.0,4.0,4.0,1,2,1,2363000,1181500,2,1,600000, ,2, ,12000, 
7140201,3.0,2.0,1.0,1.0,6.0,4.0,1,4,3,2851666,712916,4,2,900000,3,1, ,24000, 
7140209,3.0,2.0,1.0,1.0,6.0,4.0,1,5,3,640000,128000,5,1,400000, ,1, ,11000, 
7140395,3.0,1.0,3.0,4.0,6.0,4.0,1,1,1,180000,180000,1,1,540000, , , ,0, 
7140508,3.0,1.0,2.0,1.0,4.0,3.0,1,3,1,1660700,830350,2,1,2400000, ,1, ,32000,4000
7140794,1.0,1.0,1.0,1.0,4.0,3.0,1,4,1,1330000,665000,2,2,2760000,3,2, ,53350,3150
7140966,4.0,1.0,1.0,1.0,2.0,4.0,1,3,2,334166,111388,3,2,410000, , , ,25000, 
7140967,4.0,1.0,1.0,1.0,6.0,1.0,1,4,3,680000,113333,6,1,700000, ,1, ,63000, 
7140980,4.0,1.0,1.0,1.0,6.0,4.0,1,3,3,713333,118888,6,1,1500000,2,2, ,28000, 
7141203,9.0,1.0,1.0,8.0,6.0,4.0,1,2,1,1896666,474166,4,2,80000, ,2, ,10000, 
7141231,9.0,1.0,1.0,5.0,6.0,5.0,1,4,3,1120000,280000,4,1,2400000, , , ,13000, 
7141248,9.0,2.0,1.0,5.0,6.0,4.0,1,4,3,1065000,266250,4,1,1800000,3,1, ,17000, 
7141305,9.0,2.0,1.0,5.0,5.0,4.0, ,2,1,1316666,658333,2,1,8000000, , , , , 
7141315,9.0,2.0,1.0,5.0,5.0,4.0, ,2,1,600000,300000,2,1,1200000, , , , , 
7141343,9.0,2.0,1.0,5.0,5.0,4.0, ,3,2,2300000,1150000,2,1,12000000, , , , , 
7141439,9.0,1.0,1.0,1.0,4.0,1.0,2,2,1,1079782,539891,2,1,360000,1,1, ,15000,3000
7141861,1.0,1.0,1.0,1.0,4.0,1.0,3,3,2,4137833,827566,5,1,800000,5,1, ,455000,48000
7141864,1.0,1.0,1.0,1.0,4.0,1.0,1,3,2,1412250,353062,4,2,960000,3,3,12,110000,25000
7141995,1.0,2.0,1.0,1.0,6.0,4.0, ,4,1,703333,234444,3,1,600000, , , , , 
7142036,1.0,2.0,1.0,1.0,6.0,3.0,1,3,2,467500,93500,5,4,2020000,3, , ,28440, 
7142057,3.0,1.0,2.0,1.0,4.0,4.0,3,5,2,4128333,2064166,2,1,800000, ,1, ,56000, 
7142155,3.0,2.0,1.0,5.0,6.0,4.0,1,3,2,895000,298333,3,1,300000, ,1, ,10800, 
7142169,3.0,2.0,1.0,5.0,6.0,4.0,1,4,2,1241250,413750,3,1,5000000, ,2, ,42000, 
7142172,3.0,2.0,1.0,5.0,6.0,4.0,1,1,1,913333,456666,2,1,4000000, ,2, ,38000, 
7142231,2.0,1.0,1.0,1.0,6.0,4.0,1,4,2,60000,15000,4,1,720000,2,1, ,45000,12000
7142246,2.0,2.0,1.0,1.0,6.0,4.0,1,4,3,915000,183000,5,1,6240000,1,1, ,180000, 
7142527,3.0,1.0,2.0,1.0,4.0,1.0,3,4,3,2833333,708333,4,2,40000,2,2, ,85000,22000
7142848,6.0,1.0,3.0,1.0,4.0,4.0,1,1,1,964583,964583,1,1,900000,1,1, ,90000,70000
7143177,9.0,1.0,3.0,1.0,6.0,4.0,2,1,1,216666,216666,1,1,200000, , , ,0, 
7143193,1.0,1.0,1.0,1.0,4.0,1.0,1,4,3,1528333,254722,6,1,5000000,1,2, ,158000,23000
7143375,5.0,1.0,2.0,1.0,4.0,1.0,3,3,1,860333,860333,1,1,388000,1,2, ,33000,18000
7143460,5.0,1.0,2.0,1.0,6.0,1.0,2,3,3,2727282,681820,4,1,180000, ,2, ,42000,26000
7143575,5.0,1.0,3.0,1.0,4.0,3.0,3,1,1,670000,223333,3,2,1560000,1,2, ,0,15000
7143904,7.0,1.0,2.0,1.0,4.0,1.0,1,3,2,1033333,206666,5,1,4800000, ,1, ,45000,6000
7143906,7.0,1.0,2.0,1.0,4.0,1.0,1,3,2,630666,126133,5,1,800000,2,1, ,90000,10000
7144107,,,,,,,,1,1,150000,150000,1,1,600000, , , ,8000, 
7144369,1.0,1.0,2.0,1.0,4.0,1.0,1,3,1,1116666,372222,3,1,2400000, , , ,19300, 
7144521,1.0,2.0,1.0,5.0,6.0,4.0, ,3,1,1068333,1068333,1,1,8880000, , , , , 
7144611,8.0,1.0,1.0,1.0,4.0,1.0,3,3,3,17220833,3444166,5,1,250000,3,2,3,250000, 
7144665,1.0,1.0,2.0,1.0,4.0,1.0,1,3,2,1912648,637549,3,1,200000,2,2, ,0,0
7144679,1.0,1.0,1.0,1.0,4.0,3.0,1,3,2,1393333,348333,4,1,400000, ,1, ,0, 
7144984,2.0,2.0,2.0,1.0,4.0,3.0,2,2,1,772166,193041,4,1,2000, , , ,22000,12000
7145011,2.0,2.0,1.0,1.0,4.0,1.0,2,3,2,2773000,693250,4,3,99,2,2, ,11000,14000
7145023,2.0,2.0,1.0,1.0,4.0,3.0,2,3,2,730000,182500,4,4,99, ,1, ,20800,89900
7145024,2.0,2.0,2.0,1.0,4.0,1.0,2,3,2,875000,218750,4,1,99,1,1, ,14000,7000
7145025,2.0,2.0,1.0,2.0,6.0,2.0,2,2,2,803000,267666,3,1,1236000, ,1, ,20000,10000
7145108,3.0,2.0,1.0,5.0,7.0,4.0,0,2,1,624333,208111,3,1,700000, , , ,0, 
7145129,3.0,2.0,1.0,1.0,6.0,4.0,1,3,1,533333,266666,2,1,400000, ,1, ,25000, 
7145363,3.0,2.0,1.0,1.0,6.0,4.0,1,5,4,1101000,137625,8,5,600000, ,2, ,61000,58000
